origin,group,action,target
0,' \\t',∉,!KW_AND|KW_NOT|KW_OR
0,' \\t',∈,1
0,'\\n',∉,!KW_AND|KW_NOT|KW_OR
0,'\\n',∈,2
0,'!',∉,!KW_AND|KW_NOT|KW_OR
0,'!',∈,EXC
0,'&',∉,!KW_AND|KW_NOT|KW_OR
0,'&',∈,AMPS
0,'(',∉,!KW_AND|KW_NOT|KW_OR
0,'(',∈,LP
0,')',∉,!KW_AND|KW_NOT|KW_OR
0,')',∈,RP
0,'*',∉,!KW_AND|KW_NOT|KW_OR
0,'*',∈,STAR
0,'+',∉,!KW_AND|KW_NOT|KW_OR
0,'+',∈,PLUS
0,',',∉,!KW_AND|KW_NOT|KW_OR
0,',',∈,COMMA
0,'-',∉,!KW_AND|KW_NOT|KW_OR
0,'-',∈,DASH
0,'.',∉,!KW_AND|KW_NOT|KW_OR
0,'.',∈,3
0,'/',∉,!KW_AND|KW_NOT|KW_OR
0,'/',∈,SLASH
0,'0123456789',∉,!KW_AND|KW_NOT|KW_OR
0,'0123456789',∈,4
0,'<',∉,!KW_AND|KW_NOT|KW_OR
0,'<',∈,5
0,'=',∉,!KW_AND|KW_NOT|KW_OR
0,'=',∈,6
0,'>',∉,!KW_AND|KW_NOT|KW_OR
0,'>',∈,7
0,'ABCDEFGHIJKLMNOPQRSTUVWXYZ_bcdefghijklmpqrstuvwxyz',∉,!KW_AND|KW_NOT|KW_OR
0,'ABCDEFGHIJKLMNOPQRSTUVWXYZ_bcdefghijklmpqrstuvwxyz',∈,8
0,'^',∉,!KW_AND|KW_NOT|KW_OR
0,'^',∈,HAT
0,'a',∉,!KW_NOT|KW_OR
0,'a',∈,9
0,'n',∉,!KW_AND|KW_OR
0,'n',∈,10
0,'o',∉,!KW_AND|KW_NOT
0,'o',∈,11
0,'{',∉,!KW_AND|KW_NOT|KW_OR
0,'{',∈,LS
0,'|',∉,!KW_AND|KW_NOT|KW_OR
0,'|',∈,VBAR
0,'}',∉,!KW_AND|KW_NOT|KW_OR
0,'}',∈,RS
0,'²³¹⁰⁴⁵⁶⁷⁸⁹',∉,!KW_AND|KW_NOT|KW_OR
0,'²³¹⁰⁴⁵⁶⁷⁸⁹',∈,12
0,'∀',∉,!KW_AND|KW_NOT|KW_OR
0,'∀',∈,FORALL
0,'∃',∉,!KW_AND|KW_NOT|KW_OR
0,'∃',∈,EXIST
0,'∈',∉,!KW_AND|KW_NOT|KW_OR
0,'∈',∈,ISIN
0,'∉',∉,!KW_AND|KW_NOT|KW_OR
0,'∉',∈,NOTIN
0,∅,∉,!KW_AND|KW_NOT|KW_OR
1,' \\t',∉,WHITESPACE
1,' \\t',∈,1
1,∅,∉,WHITESPACE
2,'\\n',∉,NEWLINE
2,'\\n',∈,13
2,∅,∉,NEWLINE
3,'0123456789',∈,14
3,∅,∉,!FLOAT
4,'.',∈,15
4,'.',∉,INT
4,'0123456789',∉,INT
